streamer,twitch_id
Karimkt,171342575
Askyyy,151767660
Nagaserya,80436453
Laorie,273221728
Gaspard_TV,698328514
enterthecryptomatrix,624286083
WeazelNews_Baylife,702836484
Scorpio__Queen,633251322
CauetTV,490839209
Malganyr,82493955
Brizereins,38618824
JeanPormanove,53457881
Sixquatre,109306231
JuliaBayonetta_,148389721
JunpeiFrance,50108700
TwixGauche,83653318
Peurle_ow,199037432
WiPR,84021070
Theorus_,98359082
Checksa,113541071
TipStevens,123092401
JapaniaTV,511080334
CinyLooney,466698718
Lamatrak,220571998
Mademoiselle_Soso,601875952
Kstar,39101178
TMAXKS,166975063
PoneeeyClub,274440537
Sturry316,97344093
Mrs_Sweetness,144866210
Linsa,415401166
piedscarresoff,690699204
Voci,41998714
MahyarS,68406941
BenjosLIVE,493980401
Gako,192562242
Farees,404878236
MrDeriv,24538057
Eki_dev,94553139
KiGuNiiN,268297838
NowtechTeam,82858070
Linskyt,93725645
Gaethaaan,154691060
YodaManette,440229923
AnaOnAir,433598479
Tiyax3,169773933
Pandowner,52116044
PCSXperion,614570029
SeriousCharly,21102695
tityyy,59837139
SousEcoute,213020412
Driinja,104497284
Sawpalin,139024449
SolaryEvent,412354630
xXPsYkO17Xx,29852268
MrQuarate,89283616
chloee_fitgamer,507354293
glutonnyssb,413138671
Verveinne,253558535
MarcelinZ_,772141160
Niemesia,418380923
do_oms,132330471
FrostyQc,638298060
Chat_,146949465
saizen,145456708
brak2K,5856979
minuce,47948752
TopAchat,101333996
SherineBerryy,511446519
tpk_live,167618935
Loupiote3,270997352
warkik,93577519
Rylet_TV,114988863
MarineLord,38211482
Ragnwar,78565974
RoroowTV,411206830
Nhelim,153936236
Gonzales,417055625
Skykhoqua,70190755
PrestonCitron,82996418
FlashShad0w,32370732
AP_R0se,138004464
Mr_Youns_TV,102766788
ilestbiencelivre,117816585
Zaroide,183786127
HydraOffi,424732057
i_Reaz,133268904
Artesio,103126576
Andilextv,86121036
Kenth_s,145004109
mxrwzndood,157749467
RiriMiaou,427954592
MagouilleTV,466731764
ManuelFerraraTV,131861345
Fatiiiih,138347708
Desastre_Show,97742230
apol1gaming,605089383
SuperBrioche,30286648
Vohlt,38973058
NanardBE,61776577
7lvn,427810079
Malm,82233972
Kwev,30136543
BriceGamingZone,152954848
Flamby,60256640
ZeFeKa,44595372
sAwsik,180958979
McLaugh,113894557
Fekah_,88959886
DanyCaligula,728794922
Noachu,49605699
CaptainFracas,82020771
Marie_Panka,424341432
COQTO,188300205
FleyoTTV,problem with username
SheisouTV,118422060
Edeexy,660352324
Nagatow12,460712622
AstronoTwitch,569407200
AymSSJ,86693755
Astralsq,597044009
davduf,646892065
Bestmarmotte,74351174
Morgie_,448484759
Owiiiii,141208105
VitaPvPey,problem with username
LePhoceenOfficiel,547378744
leo_jack0tte,554858291
Amaazz,132462693
JLFranklin_,179481238
LeBergy,219160421
zboubnours,147252105
The_Footix,152887599
Sratuke,40323755
Samiaalpha,594956628
iamTKL,31356220
MissCliick_,160824044
LikEfac,155669440
Teuf,119413137
ESL_PwnZ,problem with username
Okimouye,133914306
Kyzen_,86147061
SCOOT1994,58172663
Yunatahel,80885349
Talmo,74097186
Personator1LC,123233779
selek___,222786446
SalemFUTT,102687991
Yekais,92113668
GryfoxGaming,264777332
Gilles_Stella,758313841
BeHopGG,713323605
JAGOlewahar,20625505
MoumouSx,422226123
xo_trixy,125323544
LifeIsCool,90521067
DiscoverID,143599694
Sididi,46516676
Potxeca,137380549
Neagari,464846470
zbb__,144180499
DarXcioo,633303347
Norby,94714426
JackDarius,30073531
BidonDx,57215881
Bysouk,229714332
Packam,24253306
Exakick,81410999
AchilleFPS,118385536
TeLo,137450442
ChickenHouse,51201414
LaPetiteMaros,61994404
Steelorse,57903989
MinoStreaming,161693979
Pouloute,123779495
narutovie_,494753394
WaterPatate,116204556
Lasbou,100675777
Elchiki_coc,480851634
BartGeo,2305215
Sebwellz,76778358
HoriaTwitch,614185713
CedHD_,444375177
franck_miller,226763442
Souwtane,602364267
Hexakil,87138215
bezigue,273625526
enaolf,110603388
yt_guillaume,138976819
Dolorisia,155888555
Sitaux,56828180
Staaaaq,200493283
touskiTV,791726940
BatOu,119626447
iWaiiKe,105909590
Guts915,160413237
JayPL_,20491166
LexiTVz,448607714
fawzz_tv,91781233
Echyr_,110078003
Tutchio,218293206
Laraa_tv,189880611
Dealoc,52994121
ZioClo23,433820432
EXPAT_MALGRE_LUI,659951901
wsh_samy,803315456
Globtopus,36043506
StandingWaltz,147556899
SEROTHS,46273243
Khalistas,69722805
ShiruTV_,409221882
Akwartz,28463722
BastiUi,149643510
Recalbox,115060112
MK_RZA,107676168
Phallen,170078223
ZulZorander,75052332
Wixxez,602999780
DaFuunkK,130838158
MuchoFruito,208723206
MartinPonK,149814886
Mandced,695303602
Zeeqsx,623100796
Sludeina,112210553
Jenii,85957979
MarcusZeBoulet,58712106
MlleSaana,203601887
Chocolatier_PaulGarderes,582701346
DamS_OW,106641137
PoppieLaLa,529787394
SixOneZil,162331944
Mouffette_,450531087
frozencrystal,56404255
BigNeo,problem with username
CanalSupporters,663790329
WENDOHxSUZUKA,19104675
yorenzo_10,70755059
chtispicwic,506631968
YoloNou,89195977
abeille23,191619181
Vitality,153794984
Evocatys,72305138
Fukano,23539480
ForDaKingHS,91023179
divizio1,687934827
Triskelina,552687958
BRAAMZ,64556262
Mazzeh,73789131
JiRock,52319624
Nono_LoL,83599274
Samsybaz,759695080
MrLEV12,92064933
Nianfo,56145303
guillaumekiwi,260898573
Sephijin,246982491
JennyyL,150783395
Fluffy,108237455
SkarTiz,38851097
Dhalen,502281282
MaitreArmand,94279682
Myrolame,82939566
VolcaTwitch,611497474
EncreMecanique,190145142
Zedd930,420205603
ChoopChoop,44723394
overtecknologie,75325541
BacchusQC,157685133
arnaud_tsamere,522680774
Mayucca,488455482
Kocomen,26459570
Whoony,604716468
FLaPiiX,86729677
M4LL4URY,109500792
ESIX_France,70817457
xj0nathan,119179434
RIZCHOU,465377597
Cissouryne,602226763
Chreak,42855324
lu_mpy,494185589
Ced0u,31047440
Docwilka,824702626
maechi,122883275
whiteshark67,105263176
mexichem,525530197
Gael_Mectoob,419430618
LAntiStream,595382540
MaatM,187998818
Casca,498861294
Pulse_Flytz,614127094
MiiThyXLive,617842153
Tictoo,84629905
shoxieJESUSS,35332416
Lypning,122421160
francdoogplay,problem with username
bourbier76,800512966
Icekei,29283977
Martav,29979365
Albraik,30460800
Cheatah_tv,108793745
K4BRONE,203796284
CitronViolet,41812776
Diabalzane,38212108
nems,39801475
Pingouin23,40240330
guerrierdivin,815270089
EtiennePKR,92392530
Black_Pawn_01,627777358
hantera1,120602319
hassou,112697245
Lewislefou,474375619
DefendIntelligence,209525793
ArmelleTV_,260980089
YubelYukiTV,436563158
MrCoCo10_,437528066
Alexis_Knr,180940736
pmleek,58828681
Ego_RL_,833964201
Tado87,26465197
zatistv,853327675
NawK_,81105199
sarah_fal,742706560
Remi_iD,104114361
Rafs0u,111707570
Likywind,514023247
Justicier2lombre,438334883
YouYou,41727944
france_doggy,problem with username
TarTiine__,172380184
Atrandos,49180001
Furax22,120951864
blastz_off,521785015
PalTayON,849707794
Yary,16913548
LadyEzkay,102319314
Tweaps,85268580
Niniste,51958193
Nat_Ali,47148210
Kiuqsxn,109166621
Guccavo,570169323
DaxLaZanga,503250786
NeyazR1,157055575
kop_tv,119386841
Bichard,121192207
ozk____,729236344
DrLetsTry,66264386
now0_tv,83686569
GijohnDo,66122396
BeaufDelphine,432843941
Dr_Mattheus,66706024
Kiniitooo,174140245
imLuxiie,514730977
HoyZ,87130119
Skilli,93564607
AmarVolte,171288262
ImDriss,608838633
LemedTV,540843428
Amiir190,457562789
Marikigai,476358301
TorusMastaz,142102402
leopaulvevo,279059198
MadameZoum,104573615
oneiluj,163436465
Tavaa,461423202
CORBivOr,42995948
Hytanie,261657237
Corobizar,123020035
Newtiteuf,28727443
Nyreez,539920111
Laukinawa,582815681
MiyunaTV,489140211
Frigiel,24030910
KailonYTB,problem with username
R_Messaoud,171077935
SoOn,72915687
RAISAIN,117244612
MonteDeLinguisticae,98350308
7Krone,36539841
Guile,53964156
Shinopavels,453236969
Poachimpa,490764195
amandineroymedium,659701894
Nunakeau,114869665
RaveR,138669488
BennyBoyTV,81538051
Nobreak0,557780647
WoToP_,608645310
FreemanSensei,244366849
SorcYer,195253043
Emma_Graziano,495007848
Terrecassee,68824235
Pinde,69317124
Juaniitoooo,114543059
Airbeud,26397362
Ouatdefok,123930395
AnimaxeFR,112264187
PoubelleTV,5010735
WilfriedRozay,155329495
Baka_Boo,193732065
Zetetone,212955371
Bejito,89204744
HattimZ,795135951
Lixium_,503221697
ZeAaron_,104020588
Misat_Onze,97059592
Lvcyd,172276857
RandomWatcherTV,23668995
Azano__,104742330
CabriDIY,227146018
SuperBabtou,508528061
LegroTV,239757490
BinOoL,29232322
Dreamschannelive,401934664
Thaget,618954295
ShambIess,427465694
Play_MK8,90642413
Spicy_FR,232636472
Traapx_,173145844
JustinTheKid_,648473373
Roxy,83787344
Micheline_TV,517980950
gravitiiii,493382195
KeydeeGamerBoy,89203888
Morik,113477173
TheSniper_AOE,31801548
Charlene,166873069
Tiboudouboudou,101198118
AsuGaming,135667986
notabenemovies,98354690
AlexanderssonVII,563261711
Thana_Khan,44128876
RohBinFluteAlors,52741185
Bourrinator,32236614
Lyssio,109857979
SuperCouscousVlog,794545738
Solvbet,503534599
1TLAU,37852825
JoueurSansFromage,86472488
fumaxx_,438291739
OutrospectionTV,640825972
N4ROY,152329729
Alxios,149085036
LadiffTV,78119719
Apocalypse3_Tv,90256915
Nannoxx,93422969
Keep,50864587
Trimaz67,103658974
Esteboomm,191419665
journalducoin,670000305
adamogrosbig,604818698
Val_PL_magicarenafr,218088150
PrimeVideoFR,591082430
BDLdom,211640507
ABUZAAAH_,164109572
Kamuirobotics,60043099
Aphrodiziak_,131406051
Scalper_Chirurgical,701544186
Lilian31,135207782
Kuzan_TV,71123515
SpeedGamingFrancais,212933003
OneShooter,106939329
CoaenYT,513113081
PulsRadioCom,421728206
Lyannha,126682630
StundZow,690736625
Nico_Oni,97037121
Ionix_Tv,95109100
Burnaison,81601872
Super_Bulle,59503890
HariPear,46596119
MaryPou,125545131
Lutaa_,117073667
Bulbiere,255210122
FANZY_TV,74310335
ravusssss,432689780
WalouGarou_,169413444
Linkorep,201055408
shadoowfifa,140306908
sophianek,511530473
El_Gran_Boa,36776707
KaelynaTV,177515814
xYANx,598939851
Spuffi,47695841
doogfrancplayer,problem with username
GeeOhmTV,155040084
Zaraki_YT,642125275
WissamXelka,627349402
Mourad2Twitch,749344479
juniortvgaming,91296145
Xerackk,120678858
Noddus_,195524611
Namisae,112621872
SK_Senpaiii,735800342
LaFleur_lol,475895311
pvblitoz,615282979
frdoggyplayer,problem with username
SmithZz,39392997
JMAXIMUSS,269457088
Featrana,223872807
jean7grosbig,462588279
Azgarok,42459168
Domores,83000409
Yetensone,633147745
Mitsugi_off,573622531
AshtaxLive,105816275
f4na_,89589433
LilithLums,651291052
CHLOE,212360430
Lezartman,164288789
C4__Astrofyk,90908345
AikaMorii,45961015
Mastaa,68173831
ClementFreze,416333725
Asterionlebon,74429531
kevinbg10,problem with username
Liberto,44960888
WithMyCap,125541509
Captain_FraKas,114192839
Pearja,118006982
Kharliito,461938762
NateExplores,540232218
Ser_ON_i,794703788
Chester_ttv,193336212
meyerfr45,problem with username
Brickmitri,148775967
Emmashtream,500001586
LaKherz,472729864
LaiizenFN,495010090
Colomblbl,126859912
mathestarZ,72916850
Makazin,160659987
LEXcalvin,53236934
TouristeGalactique,411561067
Albyrex_,627359752
BouBou_Xe,187658113
Skydeun,172085668
Yanka_tv,40243949
Capetlevrai,13708365
Youby4,181242441
Azuma,128675986
Kejinn,50547832
Flonflon,468884133
PlayStationFR,59215153
Owarida,75524984
Niamor,184597777
NelsonKDS,237262428
THEPAF,63245740
wantedslots,400265758
el_guigui,62564764
CarlBrindle,408413662
TheDevilishBabe,234382938
IMaCaH,615708277
dayshigg,823675468
CHRIS_,116094440
SD_Kaido,478231344
piggybebe,491673358
mnkway,468870163
NicoTheo_off,544417900
TCF_TVAurel,476956505
Pak_Ow,88002825
Triple_BoB_59,82271575
nhs_rl,110271146
Yannock_,419469934
LesGoules,35534430
Mizu,90057039
Skite,128162420
agea59,32097218
Doigt,412388481
BilouKB9,137813461
KaarMar,132387869
NormanGenius,94299081
gabeygo,565633502
Clavecine,90098512
AzleTV,31832587
M3RY,209574447
ify_faiz,441437466
epenser,64086944
Siphano,23365180
Julian_Belot,89751853
